index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
49,0xa64dc66815c127125c5813cc31c95f160bc773d9e0f0b5bec766c2a7da1fa321,1,0x391473f3e818e4b81ab0d1c58b7f5e827b780a86,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 01:02:59+00:00,4,4,1.0,3,247,248,0.995967741935484,35,1,0xa64dc66815c127125c5813cc31c95f160bc773d9e0f0b5bec766c2a7da1fa321,1,1,26,3,3,21274,39,148,946212,9,5,4,1,5,187534,39584719249,16930578,182963,0.0,238,2,-0.3886962194999266,-0.6188369856268453,-0.6188369856268453,-0.5818486916079758,-0.5494552276584249,-0.5606534082651446,-0.6576576576576577,-0.8322104367697224,-0.5875418959121594,-0.5464307572219582,-0.3517824471584811,-0.7012494219947709,-0.7057615139379293,-0.7075474486025862,-0.4424778741177279,-0.4019835681537846,-0.4062485997229473,-0.4217404735605062,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,0.9614444456192744,-0.5494771203459874,0.3650881273702597,1.4051580602059377,-0.4343661256942687,0.0,-0.5541747560913303,0.0384615384615384,0.75,1.3333333333333333,0.0001880141010575,0.2348993288590604,6.358974358974359,0.0002610405902265,0.0040322580645161,0.25,1.0,0.3333333333333333,0
48,0xa96d4a93d16040ef3d86eae6ba40b24de23954158f2838f832e51c2966a2f476,1,0x391473f3e818e4b81ab0d1c58b7f5e827b780a86,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 01:04:35+00:00,5,5,1.0,3,248,249,0.9959839357429718,35,2,0xa96d4a93d16040ef3d86eae6ba40b24de23954158f2838f832e51c2966a2f476,2,1,2,3,3,21282,39,148,946220,3,2,1,1,1,57631,33042999336,6989873,52697,0.0,239,2,-0.3886962194999266,-0.605976699142497,-0.605976699142497,-0.5818486916079758,-0.546854871635432,-0.558249646439278,-0.6576576576576577,-0.5902887981738729,-0.5175964321130928,-0.5464307572219582,-0.5129041786814496,-0.7012494219947709,-0.7057615139379293,-0.7073968409016523,-0.4424778741177279,-0.4019835681537846,-0.4062458765655933,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.8545981512729572,0.115388221875447,-0.2792816270492859,-0.7506960264572178,0.0,-0.5517132887550447,0.5,0.75,1.6666666666666667,0.0002349292862848,0.2348993288590604,6.384615384615385,0.0002620952187702,0.0080321285140562,0.4,2.0,0.3333333333333333,0
46,0xa7a6c4df1314087db7b11091c8925eb4f3ab947b247d0bb32a1a92d4bd47c9cd,1,0x05b0e0b39309bd0ffe8700cd91dee76ebb1394ee,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 01:18:35+00:00,6,6,1.0,3,393,399,0.9849624060150376,108,3,0xa7a6c4df1314087db7b11091c8925eb4f3ab947b247d0bb32a1a92d4bd47c9cd,2,2,2,3,3,21352,62,1632,10241281,3,2,1,1,1,57631,20201676724,9746652,52697,0.0,369,2,-0.3886962194999266,-0.5931164126581485,-0.5931164126581485,-0.5818486916079758,-0.1698032483014441,-0.1976853725592758,0.4030804998546933,-0.3483671595780234,-0.5175964321130928,-0.3362650813673589,-0.5129041786814496,-0.7012494219947709,-0.7057615139379293,-0.7060790235184804,-0.0876316012897035,2.767075160810391,2.757743338143484,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.8545981512729572,-0.3747698841407925,0.187851031710004,-0.7506960264572178,0.0,-0.2317225350379223,0.5,0.75,2.0,0.0002809909614574,0.0661359461114513,6.435483870967742,3.8374101992309166e-05,0.0050125313283208,0.3333333333333333,1.0,0.6666666666666666,0
44,0x8707831b6c18a1b1ec638fba33fb7d78d4efa04c7dc7ea72b5287dee97c03883,1,0x11d67fa925877813b744abc0917900c2b1d6eb81,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 02:00:23+00:00,7,7,1.0,3,925,977,0.946775844421699,186,4,0x8707831b6c18a1b1ec638fba33fb7d78d4efa04c7dc7ea72b5287dee97c03883,1,1,26,4,3,21560,184,284,1817515,9,5,4,1,5,187534,19388784326,14713377,182963,0.0,940,2,-0.3886962194999266,-0.5802561261738002,-0.5802561261738002,-0.5818486916079758,1.213586155930842,1.1916889627916656,1.5364719558267943,-0.1064455209821738,-0.5875418959121594,-0.5464307572219582,-0.3517824471584811,-0.6471406702976435,-0.7057615139379293,-0.702163223294198,1.7945964545806865,-0.1115577008093588,-0.1096617032255856,-0.4217404735605062,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,0.9614444456192744,-0.5494771203459874,-0.4057982922135201,1.0294562001243872,-0.4343661256942687,0.0,1.1737753139811309,0.0384615384615384,0.75,1.75,0.0003246602662214,0.6526315789473685,5.309782608695652,0.0005089363724996,0.0010235414534288,0.1428571428571428,1.0,0.3333333333333333,0
43,0x0d7ec42a41ca718b81a9830382495c1b738e95b562b24ca97ef691d3175832c5,1,0x11d67fa925877813b744abc0917900c2b1d6eb81,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 02:02:59+00:00,8,8,1.0,3,926,978,0.9468302658486708,186,5,0x0d7ec42a41ca718b81a9830382495c1b738e95b562b24ca97ef691d3175832c5,2,1,2,4,3,21572,184,284,1817527,3,2,1,1,1,57631,19229564986,5102108,52697,0.0,941,2,-0.3886962194999266,-0.5673958396894517,-0.5673958396894517,-0.5818486916079758,1.216186511953835,1.1940927246175324,1.5364719558267943,0.1354761176136756,-0.5175964321130928,-0.5464307572219582,-0.5129041786814496,-0.6471406702976435,-0.7057615139379293,-0.7019373117427972,1.7945964545806865,-0.1115577008093588,-0.1096576184895546,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.8545981512729572,-0.4118757542081768,-0.599160980295495,-0.7506960264572178,0.0,1.1762367813174164,0.5,0.75,2.0,0.0003708339127613,0.6526315789473685,5.315217391304348,0.0005094832101623,0.0020449897750511,0.25,2.0,0.3333333333333333,0
38,0x1a848c5ec11515d78abfe39d79ada2fa63af1c48073b3ad9d67a9934d14dc471,1,0x05b0e0b39309bd0ffe8700cd91dee76ebb1394ee,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 03:33:35+00:00,9,9,1.0,3,398,404,0.9851485148514852,108,6,0x1a848c5ec11515d78abfe39d79ada2fa63af1c48073b3ad9d67a9934d14dc471,3,2,22,4,3,22019,64,1632,10241948,13,5,4,1,7,183119,17122825655,13130726,173716,0.0,374,2,-0.3886962194999266,-0.5545355532051033,-0.5545355532051033,-0.5818486916079758,-0.156801468186479,-0.1856665634299424,0.4030804998546933,0.3773977562095251,-0.4476509683140262,-0.3362650813673589,-0.3786360690789758,-0.6471406702976435,-0.7057615139379293,-0.6935221064531134,-0.056775403652484,2.767075160810391,2.7579703813878704,0.4389543704405265,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,2.260693696456132,-0.559847237676169,-0.4922907855529932,0.7612780220701982,-0.4568209688026391,0.0,-0.2194151983564945,0.0454545454545454,0.75,2.25,0.000408719346049,0.0661359461114513,6.3125,3.885979123699991e-05,0.0074257425742574,0.3333333333333333,1.5,0.6666666666666666,0
34,0xe2d56644a4d766123833d8519e31e0b5e0d197d689f1c0e5ad7cd0532186ea3d,1,0x1b04d574d4a3d57fb724848937a926aa21c59271,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-21 07:39:59+00:00,10,10,1.0,4,94,94,1.0,22,7,0xe2d56644a4d766123833d8519e31e0b5e0d197d689f1c0e5ad7cd0532186ea3d,1,1,26,5,4,30417,17,94,622564,9,5,4,1,5,562602,29679472319,680430,182963,0.0,71,0,-0.3886962194999266,-0.5416752667207549,-0.5416752667207549,-0.4483971568355043,-0.9473096991763568,-0.9308327294486136,-0.8465562336530078,0.6193193948053747,-0.5875418959121594,-0.5464307572219582,-0.3517824471584811,-0.5930319186005162,-0.5689860267406561,-0.5354216723977138,-0.7818960481271424,-0.5172997213640713,-0.5164166536348219,-0.4217404735605062,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,0.9614444456192744,0.3314966433678352,-0.0129988673677222,-1.3484086350104576,-0.4343661256942687,0.0,-0.9652398012510184,0.0384615384615384,0.8,2.0,0.0003287527122098,0.231578947368421,5.529411764705882,0.0001509882502228,0.0106382978723404,0.1,1.0,0.25,0
33,0x493578d1169f1a6241e51f0a778b4033baa089b78b2fbb22c92c2849f60d8e35,1,0x1b04d574d4a3d57fb724848937a926aa21c59271,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-21 07:44:23+00:00,11,11,1.0,4,95,95,1.0,22,8,0x493578d1169f1a6241e51f0a778b4033baa089b78b2fbb22c92c2849f60d8e35,2,1,2,5,4,30438,17,94,622585,3,2,1,1,1,172893,27608516869,537947,52697,0.0,72,0,-0.3886962194999266,-0.5288149802364065,-0.5288149802364065,-0.4483971568355043,-0.944709343153364,-0.9284289676227468,-0.8465562336530078,0.8612410334012242,-0.5175964321130928,-0.5464307572219582,-0.5129041786814496,-0.5930319186005162,-0.5689860267406561,-0.5350263271827622,-0.7818960481271424,-0.5172997213640713,-0.5164095053467678,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.5838664494130741,-0.0920480145379225,-1.3725521962527625,-0.7506960264572178,0.0,-0.9627783339147328,0.5,0.8,2.2,0.0003613784946943,0.231578947368421,5.588235294117647,0.0001525893611484,0.0210526315789473,0.1818181818181818,2.0,0.25,0
29,0x688a436916e8eaac4b86549cd630a8731c649091d4f0076fadd13401f7fa3116,1,0xd178f2d93b92ac47cf51a899463eca8acc37a8d5,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-23 13:38:59+00:00,12,12,1.0,5,1061,1157,0.9170267934312878,142,9,0x688a436916e8eaac4b86549cd630a8731c649091d4f0076fadd13401f7fa3116,1,1,2,6,6,46533,72,607,3895964,3,2,1,1,1,57631,25161939467,6761453,52697,0.0,1134,2,-0.3886962194999266,-0.515954693752058,-0.515954693752058,-0.3149456220630328,1.5672345750578929,1.6243660914476683,0.8971229293809937,1.1031626719970735,-0.5875418959121594,-0.5464307572219582,-0.5129041786814496,-0.5389231669033888,-0.2954350523461099,-0.2320224588662989,0.066649386896394,0.5782037341336523,0.5978312566724577,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.8545981512729572,-0.1854347926619929,-0.3179871025022682,-0.7506960264572178,0.0,1.6512999772205288,0.5,0.7142857142857143,2.0,0.0002578759616624,0.2335526315789473,16.069444444444443,0.0002723330420062,0.0008643042350907,0.0833333333333333,1.0,0.2,0
26,0xd8a390c00105092cd74ff4709dc7b0ed03e7c9c056e76654ffda3d93469317eb,1,0xd178f2d93b92ac47cf51a899463eca8acc37a8d5,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-23 13:43:47+00:00,13,13,1.0,5,1064,1160,0.9172413793103448,142,10,0xd8a390c00105092cd74ff4709dc7b0ed03e7c9c056e76654ffda3d93469317eb,2,1,22,6,6,46557,73,607,3895988,13,5,4,1,7,183107,19405991784,8915143,173704,0.0,1137,2,-0.3886962194999266,-0.5030944072677097,-0.5030944072677097,-0.3149456220630328,1.5750356431268715,1.6315773769252682,0.8971229293809937,1.345084310592923,-0.5175964321130928,-0.5464307572219582,-0.3786360690789758,-0.5389231669033888,-0.2954350523461099,-0.2315706357634971,0.0820774857150037,0.5782037341336523,0.5978394261445197,0.4389543704405265,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,2.260693696456132,-0.5598754237255376,-0.4051414770802602,0.0469529002485128,-0.4568501088607445,0.0,1.6586843792293855,0.0454545454545454,0.7142857142857143,2.1666666666666665,0.0002792216160487,0.2335526315789473,15.89041095890411,0.0002731013870932,0.0017241379310344,0.1538461538461538,2.0,0.2,0
